Country,Region,Income group,Year joined
South Africa,Sub-Saharan Africa,Upper middle income,2015
South Korea,East Asia & Pacific,High income,2018
South Sudan,Sub-Saharan Africa,Low income,2018
Sri Lanka,South Asia,Lower middle income,2017
Sudan,Sub-Saharan Africa,Lower middle income,2018
Suriname,Latin America & Caribbean,Upper middle income,2018
Syria,Middle East & North Africa,Low income,2022
Tajikistan,Europe & Central Asia,Low income,2018
Tanzania,Sub-Saharan Africa,Low income,2018
Thailand,East Asia & Pacific,Upper middle income,2014
Togo,Sub-Saharan Africa,Low income,2018
Tonga,East Asia & Pacific,Upper middle income,2018
Trinidad and Tobago,Latin America & Caribbean,High income,2018
Tunisia,Middle East & North Africa,Lower middle income,2018
Turkey,Europe & Central Asia,Upper middle income,2015
Turkmenistan,Europe & Central Asia,Upper middle income,Unknown
Uganda,Sub-Saharan Africa,Low income,2018
Ukraine,Europe & Central Asia,Lower middle income,2017
United Arab Emirates,Middle East & North Africa,High income,2018
Uruguay,Latin America & Caribbean,High income,2018
Uzbekistan,Europe & Central Asia,Lower middle income,2015
Vanuatu,East Asia & Pacific,Lower middle income,2018
Venezuela,Latin America & Caribbean,Upper middle income,2018
Vietnam,East Asia & Pacific,Lower middle income,2017
Yemen,Middle East & North Africa,Low income,2017
Zambia,Sub-Saharan Africa,Lower middle income,2018
Zimbabwe,Sub-Saharan Africa,Low income,2018
